cod_munic;munic;pop_munic;ano
3305901;Trajano de Moraes;10063;2001
3306008;Três Rios;72504;2001
3306107;Valença;66842;2001
3306156;Varre-Sai;8003;2001
3306206;Vassouras;31735;2001
3306305;Volta Redonda;243593;2001
3300100;Angra dos Reis;127937;2002
3300159;Aperibé;8416;2002
3300209;Araruama;87960;2002
3300225;Areal;10187;2002
3300233;Armação dos Búzios;19778;2002
3300258;Arraial do Cabo;24600;2002
3300308;Barra do Piraí;89724;2002
3300407;Barra Mansa;172142;2002
3300456;Belford Roxo;441232;2002
3300506;Bom Jardim;23164;2002
3300605;Bom Jesus do Itabapoana;33999;2002
3300704;Cabo Frio;136956;2002
3300803;Cachoeiras de Macacu;49638;2002
3300902;Cambuci;14701;2002
3301009;Campos dos Goytacazes;417753;2002
3301108;Cantagalo;19834;2002
3300936;Carapebus;9450;2002
3301157;Cardoso Moreira;12596;2002
3301207;Carmo;15696;2002
3301306;Casimiro de Abreu;24322;2002
3300951;Comendador Levy Gasparian;7975;2002
3301405;Conceição de Macabu;19244;2002
3301504;Cordeiro;18953;2002
3301603;Duas Barras;10451;2002
3301702;Duque de Caxias;790758;2002
3301801;Engenheiro Paulo de Frontin;12371;2002
3301850;Guapimirim;40339;2002
3301876;Iguaba Grande;16395;2002
3301900;Itaboraí;193222;2002
3302007;Itaguaí;86820;2002
3302056;Italva;12897;2002
3302106;Itaocara;22982;2002
3302205;Itaperuna;88472;2002
3302254;Itatiaia;25500;2002
3302270;Japeri;85589;2002
3302304;Laje do Muriaé;7823;2002
3302403;Macaé;144794;2002
3302452;Macuco;4960;2002
3302502;Magé;209959;2002
3302601;Mangaratiba;26874;2002
3302700;Maricá;84934;2002
3302809;Mendes;17416;2002
3302858;Mesquita;168108;2002
3302908;Miguel Pereira;24048;2002
3303005;Miracema;27020;2002
3303104;Natividade;15116;2002
3303203;Nilópolis;154448;2002
3303302;Niterói;464940;2002
3303401;Nova Friburgo;175117;2002
3303500;Nova Iguaçu;771054;2002
3303609;Paracambi;41725;2002
3303708;Paraíba do Sul;38118;2002
3303807;Paraty;30993;2002
3303856;Paty do Alferes;25210;2002
3303906;Petrópolis;288389;2002
3303955;Pinheiral;20089;2002
3304003;Piraí;22900;2002
3304102;Porciúncula;16298;2002
3304110;Porto Real;12884;2002
3304128;Quatis;11114;2002
3304144;Queimados;125032;2002
3304151;Quissamã;14790;2002
3304201;Resende;107430;2002
3304300;Rio Bonito;50811;2002
3304409;Rio Claro;16461;2002
3304508;Rio das Flores;7804;2002
3304524;Rio das Ostras;45067;2002
3304557;Rio de Janeiro;5947622;2002
3304607;Santa Maria Madalena;10445;2002
3304706;Santo Antônio de Pádua;39064;2002
3304805;São Fidélis;36939;2002
3304755;São Francisco de Itabapoana;41187;2002
3304904;São Gonçalo;911853;2002
3305000;São João da Barra;28628;2002
3305109;São João de Meriti;451301;2002
3305133;São José de Ubá;6527;2002
3305158;São José do Vale do Rio Preto;19469;2002
3305208;São Pedro da Aldeia;67530;2002
3305307;São Sebastião do Alto;8498;2002
3305406;Sapucaia;17230;2002
3305505;Saquarema;56233;2002
3305554;Seropédica;67662;2002
3305604;Silva Jardim;21282;2002
3305703;Sumidouro;14318;2002
3305752;Tanguá;26931;2002
3305802;Teresópolis;142870;2002
3305901;Trajano de Moraes;10088;2002
3306008;Três Rios;73036;2002
3306107;Valença;67380;2002
3306156;Varre-Sai;8154;2002
3306206;Vassouras;32022;2002
3306305;Volta Redonda;245132;2002
3300100;Angra dos Reis;132517;2003
3300159;Aperibé;8622;2003
3300209;Araruama;90658;2003
3300225;Areal;10334;2003
3300233;Armação dos Búzios;20616;2003
3300258;Arraial do Cabo;24969;2003
3300308;Barra do Piraí;90341;2003
3300407;Barra Mansa;172841;2003
3300456;Belford Roxo;444650;2003
3300506;Bom Jardim;23424;2003
3300605;Bom Jesus do Itabapoana;34172;2003
3300704;Cabo Frio;142319;2003
3300803;Cachoeiras de Macacu;50195;2003
3300902;Cambuci;14717;2003
3301009;Campos dos Goytacazes;423241;2003
3301108;Cantagalo;19833;2003
3300936;Carapebus;9867;2003
3301157;Cardoso Moreira;12596;2003
3301207;Carmo;15903;2003
3301306;Casimiro de Abreu;25486;2003
3300951;Comendador Levy Gasparian;8000;2003
3301405;Conceição de Macabu;19480;2003
3301504;Cordeiro;19132;2003
3301603;Duas Barras;10509;2003
3301702;Duque de Caxias;798523;2003
3301801;Engenheiro Paulo de Frontin;12476;2003
3301850;Guapimirim;41588;2003
3301876;Iguaba Grande;17090;2003
3301900;Itaboraí;196159;2003
3302007;Itaguaí;89334;2003
3302056;Italva;13037;2003
3302106;Itaocara;22972;2003
3302205;Itaperuna;89361;2003
3302254;Itatiaia;25889;2003
3302270;Japeri;86768;2003
3302304;Laje do Muriaé;7780;2003
3302403;Macaé;151385;2003
3302452;Macuco;4998;2003
3302502;Magé;212055;2003
3302601;Mangaratiba;27918;2003
3302700;Maricá;89355;2003
3302809;Mendes;17480;2003
3302858;Mesquita;168141;2003
3302908;Miguel Pereira;24122;2003
3303005;Miracema;26998;2003
3303104;Natividade;15112;2003
3303203;Nilópolis;154817;2003
3303302;Niterói;467710;2003
3303401;Nova Friburgo;175973;2003
3303500;Nova Iguaçu;774160;2003
3303609;Paracambi;42365;2003
3303708;Paraíba do Sul;38476;2003
3303807;Paraty;31743;2003
3303856;Paty do Alferes;25351;2003
3303906;Petrópolis;289319;2003
3303955;Pinheiral;20401;2003
3304003;Piraí;23301;2003
3304102;Porciúncula;16474;2003
3304110;Porto Real;13298;2003
3304128;Quatis;11311;2003
3304144;Queimados;126579;2003
3304151;Quissamã;15382;2003
3304201;Resende;108900;2003
3304300;Rio Bonito;51381;2003
3304409;Rio Claro;16578;2003
3304508;Rio das Flores;7895;2003
3304524;Rio das Ostras;50133;2003
3304557;Rio de Janeiro;5992995;2003
3304607;Santa Maria Madalena;10429;2003
3304706;Santo Antônio de Pádua;39252;2003
3304805;São Fidélis;37014;2003
3304755;São Francisco de Itabapoana;41208;2003
3304904;São Gonçalo;922401;2003
3305000;São João da Barra;29113;2003
3305109;São João de Meriti;452216;2003
3305133;São José de Ubá;6585;2003
3305158;São José do Vale do Rio Preto;19565;2003
3305208;São Pedro da Aldeia;69790;2003
3305307;São Sebastião do Alto;8547;2003
3305406;Sapucaia;17267;2003
3305505;Saquarema;58219;2003
3305554;Seropédica;68896;2003
3305604;Silva Jardim;21290;2003
3305703;Sumidouro;14389;2003
3305752;Tanguá;27379;2003
3305802;Teresópolis;145327;2003
3305901;Trajano de Moraes;10113;2003
3306008;Três Rios;73571;2003
3306107;Valença;67922;2003
3306156;Varre-Sai;8309;2003
3306206;Vassouras;32311;2003
3306305;Volta Redonda;246681;2003
3300100;Angra dos Reis;137261;2004
3300159;Aperibé;8833;2004
3300209;Araruama;93439;2004
3300225;Areal;10483;2004
3300233;Armação dos Búzios;21489;2004
3300258;Arraial do Cabo;25344;2004
3300308;Barra do Piraí;90962;2004
3300407;Barra Mansa;173543;2004
3300456;Belford Roxo;448095;2004
3300506;Bom Jardim;23688;2004
3300605;Bom Jesus do Itabapoana;34347;2004
3300704;Cabo Frio;147892;2004
3300803;Cachoeiras de Macacu;50759;2004
3300902;Cambuci;14733;2004
3301009;Campos dos Goytacazes;428801;2004
3301108;Cantagalo;19833;2004
3300936;Carapebus;10304;2004
3301157;Cardoso Moreira;12597;2004
3301207;Carmo;16113;2004
3301306;Casimiro de Abreu;26705;2004
3300951;Comendador Levy Gasparian;8025;2004
3301405;Conceição de Macabu;19718;2004
3301504;Cordeiro;19312;2004
3301603;Duas Barras;10568;2004
3301702;Duque de Caxias;806363;2004
3301801;Engenheiro Paulo de Frontin;12582;2004
3301850;Guapimirim;42875;2004
3301876;Iguaba Grande;17814;2004
3301900;Itaboraí;199141;2004
3302007;Itaguaí;91921;2004
3302056;Italva;13179;2004
3302106;Itaocara;22961;2004
3302205;Itaperuna;90259;2004
3302254;Itatiaia;26284;2004
3302270;Japeri;87964;2004
3302304;Laje do Muriaé;7737;2004
3302403;Macaé;158275;2004
3302452;Macuco;5036;2004
3302502;Magé;214172;2004
3302601;Mangaratiba;29003;2004
3302700;Maricá;94006;2004
3302809;Mendes;17545;2004
3302858;Mesquita;168175;2004
3302908;Miguel Pereira;24195;2004
3303005;Miracema;26975;2004
3303104;Natividade;15108;2004
3303203;Nilópolis;155187;2004
3303302;Niterói;470495;2004
3303401;Nova Friburgo;176833;2004
3303500;Nova Iguaçu;777279;2004
3303609;Paracambi;43014;2004
3303708;Paraíba do Sul;38838;2004
3303807;Paraty;32512;2004
3303856;Paty do Alferes;25493;2004
3303906;Petrópolis;290253;2004
3303955;Pinheiral;20717;2004
3304003;Piraí;23709;2004
3304102;Porciúncula;16652;2004
3304110;Porto Real;13725;2004
3304128;Quatis;11512;2004
3304144;Queimados;128146;2004
3304151;Quissamã;15997;2004
3304201;Resende;110390;2004
3304300;Rio Bonito;51957;2004
3304409;Rio Claro;16697;2004
3304508;Rio das Flores;7986;2004
3304524;Rio das Ostras;55768;2004
3304557;Rio de Janeiro;6038714;2004
3304607;Santa Maria Madalena;10414;2004
3304706;Santo Antônio de Pádua;39440;2004
3304805;São Fidélis;37089;2004
3304755;São Francisco de Itabapoana;41228;2004
3304904;São Gonçalo;933070;2004
3305000;São João da Barra;29607;2004
3305109;São João de Meriti;453132;2004
3305133;São José de Ubá;6643;2004
3305158;São José do Vale do Rio Preto;19661;2004
3305208;São Pedro da Aldeia;72125;2004
3305307;São Sebastião do Alto;8596;2004
3305406;Sapucaia;17303;2004
3305505;Saquarema;60276;2004
3305554;Seropédica;70152;2004
3305604;Silva Jardim;21299;2004
3305703;Sumidouro;14461;2004
3305752;Tanguá;27835;2004
3305802;Teresópolis;147825;2004
3305901;Trajano de Moraes;10138;2004
3306008;Três Rios;74111;2004
3306107;Valença;68469;2004
3306156;Varre-Sai;8466;2004
3306206;Vassouras;32603;2004
3306305;Volta Redonda;248240;2004
3300100;Angra dos Reis;142175;2005
3300159;Aperibé;9049;2005
3300209;Araruama;96305;2005
3300225;Areal;10634;2005
3300233;Armação dos Búzios;22399;2005
3300258;Arraial do Cabo;25725;2005
3300308;Barra do Piraí;91587;2005
3300407;Barra Mansa;174247;2005
3300456;Belford Roxo;451567;2005
3300506;Bom Jardim;23954;2005
3300605;Bom Jesus do Itabapoana;34522;2005
3300704;Cabo Frio;153684;2005
3300803;Cachoeiras de Macacu;51328;2005
3300902;Cambuci;14748;2005
3301009;Campos dos Goytacazes;434435;2005
3301108;Cantagalo;19832;2005
3300936;Carapebus;10760;2005
3301157;Cardoso Moreira;12597;2005
3301207;Carmo;16326;2005
3301306;Casimiro de Abreu;27982;2005
3300951;Comendador Levy Gasparian;8051;2005
3301405;Conceição de Macabu;19960;2005
3301504;Cordeiro;19494;2005
3301603;Duas Barras;10628;2005
3301702;Duque de Caxias;814280;2005
3301801;Engenheiro Paulo de Frontin;12689;2005
3301850;Guapimirim;44203;2005
3301876;Iguaba Grande;18569;2005
3301900;Itaboraí;202168;2005
3302007;Itaguaí;94582;2005
3302056;Italva;13323;2005
3302106;Itaocara;22951;2005
3302205;Itaperuna;91167;2005
3302254;Itatiaia;26685;2005
3302270;Japeri;89176;2005
3302304;Laje do Muriaé;7695;2005
3302403;Macaé;165479;2005
3302452;Macuco;5074;2005
3302502;Magé;216309;2005
3302601;Mangaratiba;30130;2005
3302700;Maricá;98899;2005
3302809;Mendes;17609;2005
3302858;Mesquita;168208;2005
3302908;Miguel Pereira;24269;2005
3303005;Miracema;26953;2005
3303104;Natividade;15103;2005
3303203;Nilópolis;155557;2005
3303302;Niterói;473298;2005
3303401;Nova Friburgo;177697;2005
3303500;Nova Iguaçu;780410;2005
3303609;Paracambi;43673;2005
3303708;Paraíba do Sul;39204;2005
3303807;Paraty;33300;2005
3303856;Paty do Alferes;25635;2005
3303906;Petrópolis;291189;2005
3303955;Pinheiral;21038;2005
3304003;Piraí;24125;2005
3304102;Porciúncula;16832;2005
3304110;Porto Real;14166;2005
3304128;Quatis;11716;2005
3304144;Queimados;129732;2005
3304151;Quissamã;16637;2005
3304201;Resende;111901;2005
3304300;Rio Bonito;52539;2005
3304409;Rio Claro;16816;2005
3304508;Rio das Flores;8079;2005
3304524;Rio das Ostras;62037;2005
3304557;Rio de Janeiro;6084782;2005
3304607;Santa Maria Madalena;10398;2005
3304706;Santo Antônio de Pádua;39629;2005
3304805;São Fidélis;37164;2005
3304755;São Francisco de Itabapoana;41249;2005
3304904;São Gonçalo;943863;2005
3305000;São João da Barra;30108;2005
3305109;São João de Meriti;454051;2005
3305133;São José de Ubá;6702;2005
3305158;São José do Vale do Rio Preto;19759;2005
3305208;São Pedro da Aldeia;74539;2005
3305307;São Sebastião do Alto;8645;2005
3305406;Sapucaia;17340;2005
3305505;Saquarema;62405;2005
3305554;Seropédica;71431;2005
3305604;Silva Jardim;21307;2005
3305703;Sumidouro;14533;2005
3305752;Tanguá;28298;2005
3305802;Teresópolis;150367;2005
3305901;Trajano de Moraes;10163;2005
3306008;Três Rios;74654;2005
3306107;Valença;69020;2005
3306156;Varre-Sai;8627;2005
3306206;Vassouras;32897;2005
3306305;Volta Redonda;249809;2005
3300100;Angra dos Reis;147264;2006
3300159;Aperibé;9271;2006
3300209;Araruama;99259;2006
3300225;Areal;10787;2006
3300233;Armação dos Búzios;23347;2006
3300258;Arraial do Cabo;26111;2006
3300308;Barra do Piraí;92216;2006
3300407;Barra Mansa;174955;2006
3300456;Belford Roxo;455065;2006
3300506;Bom Jardim;24224;2006
3300605;Bom Jesus do Itabapoana;34698;2006
3300704;Cabo Frio;159702;2006
3300803;Cachoeiras de Macacu;51904;2006
3300902;Cambuci;14764;2006
3301009;Campos dos Goytacazes;440142;2006
3301108;Cantagalo;19832;2006
3300936;Carapebus;11235;2006
3301157;Cardoso Moreira;12598;2006
3301207;Carmo;16542;2006
3301306;Casimiro de Abreu;29321;2006
3300951;Comendador Levy Gasparian;8077;2006
3301405;Conceição de Macabu;20204;2006
3301504;Cordeiro;19678;2006
3301603;Duas Barras;10688;2006
3301702;Duque de Caxias;822275;2006
3301801;Engenheiro Paulo de Frontin;12797;2006
3301850;Guapimirim;45571;2006
3301876;Iguaba Grande;19356;2006
3301900;Itaboraí;205241;2006
3302007;Itaguaí;97321;2006
3302056;Italva;13467;2006
3302106;Itaocara;22941;2006
3302205;Itaperuna;92083;2006
3302254;Itatiaia;27092;2006
3302270;Japeri;90405;2006
3302304;Laje do Muriaé;7653;2006
3302403;Macaé;173011;2006
3302452;Macuco;5112;2006
3302502;Magé;218468;2006
3302601;Mangaratiba;31300;2006
3302700;Maricá;104047;2006
3302809;Mendes;17674;2006
3302858;Mesquita;168242;2006
3302908;Miguel Pereira;24343;2006
3303005;Miracema;26931;2006
3303104;Natividade;15099;2006
3303203;Nilópolis;155929;2006
3303302;Niterói;476117;2006
3303401;Nova Friburgo;178566;2006
3303500;Nova Iguaçu;783554;2006
3303609;Paracambi;44342;2006
3303708;Paraíba do Sul;39573;2006
3303807;Paraty;34106;2006
3303856;Paty do Alferes;25778;2006
3303906;Petrópolis;292129;2006
3303955;Pinheiral;21364;2006
3304003;Piraí;24548;2006
3304102;Porciúncula;17013;2006
3304110;Porto Real;14621;2006
3304128;Quatis;11924;2006
3304144;Queimados;131338;2006
3304151;Quissamã;17303;2006
3304201;Resende;113432;2006
3304300;Rio Bonito;53128;2006
3304409;Rio Claro;16936;2006
3304508;Rio das Flores;8174;2006
3304524;Rio das Ostras;69011;2006
3304557;Rio de Janeiro;6131201;2006
3304607;Santa Maria Madalena;10383;2006
3304706;Santo Antônio de Pádua;39819;2006
3304805;São Fidélis;37240;2006
3304755;São Francisco de Itabapoana;41270;2006
3304904;São Gonçalo;954780;2006
3305000;São João da Barra;30618;2006
3305109;São João de Meriti;454972;2006
3305133;São José de Ubá;6761;2006
3305158;São José do Vale do Rio Preto;19856;2006
3305208;São Pedro da Aldeia;77034;2006
3305307;São Sebastião do Alto;8694;2006
3305406;Sapucaia;17377;2006
3305505;Saquarema;64609;2006
3305554;Seropédica;72734;2006
3305604;Silva Jardim;21315;2006
3305703;Sumidouro;14606;2006
3305752;Tanguá;28769;2006
3305802;Teresópolis;152952;2006
3305901;Trajano de Moraes;10188;2006
3306008;Três Rios;75202;2006
3306107;Valença;69576;2006
3306156;Varre-Sai;8790;2006
3306206;Vassouras;33194;2006
3306305;Volta Redonda;251388;2006
3300100;Angra dos Reis;152536;2007
