cod_munic;munic;pop_munic;mes;ano
3303401;Nova Friburgo;178638;8;2006
3303500;Nova Iguaçu;783817;8;2006
3303609;Paracambi;44399;8;2006
3303708;Paraíba do Sul;39604;8;2006
3303807;Paraty;34175;8;2006
3303856;Paty do Alferes;25790;8;2006
3303906;Petrópolis;292207;8;2006
3303955;Pinheiral;21391;8;2006
3304003;Piraí;24584;8;2006
3304102;Porciúncula;17029;8;2006
3304110;Porto Real;14660;8;2006
3304128;Quatis;11942;8;2006
3304144;Queimados;131473;8;2006
3304151;Quissamã;17360;8;2006
3304201;Resende;113561;8;2006
3304300;Rio Bonito;53178;8;2006
3304409;Rio Claro;16946;8;2006
3304508;Rio das Flores;8181;8;2006
3304524;Rio das Ostras;69657;8;2006
3304557;Rio de Janeiro;6135099;8;2006
3304607;Santa Maria Madalena;10381;8;2006
3304706;Santo Antônio de Pádua;39835;8;2006
3304805;São Fidélis;37246;8;2006
3304755;São Francisco de Itabapoana;41272;8;2006
3304904;São Gonçalo;955701;8;2006
3305000;São João da Barra;30662;8;2006
3305109;São João de Meriti;455049;8;2006
3305133;São José de Ubá;6766;8;2006
3305158;São José do Vale do Rio Preto;19864;8;2006
3305208;São Pedro da Aldeia;77248;8;2006
3305307;São Sebastião do Alto;8699;8;2006
3305406;Sapucaia;17380;8;2006
3305505;Saquarema;64800;8;2006
3305554;Seropédica;72844;8;2006
3305604;Silva Jardim;21316;8;2006
3305703;Sumidouro;14612;8;2006
3305752;Tanguá;28809;8;2006
3305802;Teresópolis;153171;8;2006
3305901;Trajano de Moraes;10190;8;2006
3306008;Três Rios;75248;8;2006
3306107;Valença;69622;8;2006
3306156;Varre-Sai;8804;8;2006
3306206;Vassouras;33219;8;2006
3306305;Volta Redonda;251520;8;2006
3300100;Angra dos Reis;148144;9;2006
3300159;Aperibé;9309;9;2006
3300209;Araruama;99767;9;2006
3300225;Areal;10813;9;2006
3300233;Armação dos Búzios;23512;9;2006
3300258;Arraial do Cabo;26176;9;2006
